university,degree,season,decision,gpa,gre_verbal,gre_quant,gre_writing,status,uni_faculty,uni_pub,world_ranking
Tufts University,PhD,S16,Accepted,3.6,166.0,163.0,4.5,American,13.0,1.6,53
Purdue University,MS,S16,Rejected,3.5,156.0,169.0,3.5,International,53.0,4.8,106
Purdue University,MS,S16,Accepted,3.5,156.0,169.0,3.5,International,53.0,4.8,106
"University Of Florida, Gainesville (UFL)",MS,S16,Accepted,3.5,156.0,169.0,3.5,International,23.0,1.9,125
Rutgers University,MS,S16,Accepted,3.5,156.0,169.0,3.5,International,43.0,3.6,105
Iowa State University (ISU),MS,S16,Rejected,3.5,144.0,167.0,3.0,International,15.0,1.5,156
Duke University,PhD,S16,Rejected,3.2,156.0,147.0,3.5,International,22.0,2.8,24
University Of Southern California (USC),MS,S16,Accepted,3.3,147.0,161.0,3.5,International,50.0,5.7,73
"University Of Texas, Dallas (UT Dallas)",MS,F16,Accepted,3.91,157.0,169.0,5.5,International with US Degree,34.0,2.3,260
"University Of Illinois, Urbana-Champaign (UIUC)",PhD,S16,Accepted,3.0,149.0,164.0,2.5,International,83.0,9.9,33
"University Of Florida, Gainesville (UFL)",MS,S16,Rejected,3.5,144.0,167.0,3.0,International,23.0,1.9,125
Rutgers University,MS,S16,Accepted,3.7,155.0,165.0,4.5,International,43.0,3.6,105
Iowa State University (ISU),MS,S16,Accepted,3.5,144.0,167.0,3.0,International,15.0,1.5,156
University Of Southern California (USC),MS,S16,Accepted,3.5,144.0,167.0,3.0,International,50.0,5.7,73
Johns Hopkins University (JHU),MS,S16,Accepted,3.5,166.0,163.0,4.0,International,22.0,2.4,13
"University Of Illinois, Chicago (UIC)",MS,F15,Accepted,3.7,152.0,162.0,4.5,International,33.0,2.8,197
"University Of Illinois, Chicago (UIC)",MS,S16,Rejected,3.46,149.0,165.0,3.5,International,33.0,2.8,197
"University Of Texas, Dallas (UT Dallas)",MS,S16,Accepted,3.46,149.0,165.0,3.5,International,34.0,2.3,260
University Of Southern California (USC),MS,S16,Accepted,3.6,149.0,159.0,3.0,International,50.0,5.7,73
University Of Southern California (USC),MS,S16,Accepted,3.9,156.0,167.0,3.5,International,50.0,5.7,73
University Of Southern California (USC),MS,S16,Accepted,4.0,142.0,158.0,3.0,International,50.0,5.7,73
"University Of Texas, Dallas (UT Dallas)",MS,S16,Accepted,4.0,147.0,163.0,2.5,Other,34.0,2.3,260
"University Of Texas, Arlington",MS,F16,Accepted,4.0,157.0,169.0,4.5,International,15.0,1.8,550
