is_phd,is_ms,is_spring,is_fall,year,university_name,university_ranking,university_faculty,university_publication,gpa,gre_verbal,gre_quant,gre_writing,is_american,is_international_without_american_degree,is_international_with_american_degree
True,False,False,True,16,Tufts University,53,13.0,1.6,3.6,166.0,163.0,4.5,True,False,False
False,True,False,True,16,Purdue University,106,53.0,4.8,3.5,156.0,169.0,3.5,False,True,False
False,True,False,True,16,Purdue University,106,53.0,4.8,3.5,156.0,169.0,3.5,False,True,False
False,True,False,True,16,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.5,156.0,169.0,3.5,False,True,False
False,True,False,True,16,Rutgers University,105,43.0,3.6,3.5,156.0,169.0,3.5,False,True,False
False,True,False,True,16,Iowa State University (ISU),156,15.0,1.5,3.5,144.0,167.0,3.0,False,True,False
True,False,False,True,16,Duke University,24,22.0,2.8,3.2,156.0,147.0,3.5,False,True,False
False,True,False,True,16,University Of Southern California (USC),73,50.0,5.7,3.3,147.0,161.0,3.5,False,True,False
False,True,True,False,16,"University Of Texas, Dallas (UT Dallas)",260,34.0,2.3,3.91,157.0,169.0,5.5,False,False,True
True,False,False,True,16,"University Of Illinois, Urbana-Champaign (UIUC)",33,83.0,9.9,3.0,149.0,164.0,2.5,False,True,False
False,True,False,True,16,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.5,144.0,167.0,3.0,False,True,False
False,True,False,True,16,Rutgers University,105,43.0,3.6,3.7,155.0,165.0,4.5,False,True,False
False,True,False,True,16,Iowa State University (ISU),156,15.0,1.5,3.5,144.0,167.0,3.0,False,True,False
False,True,False,True,16,University Of Southern California (USC),73,50.0,5.7,3.5,144.0,167.0,3.0,False,True,False
False,True,False,True,16,Johns Hopkins University (JHU),13,22.0,2.4,3.5,166.0,163.0,4.0,False,True,False
False,True,True,False,15,"University Of Illinois, Chicago (UIC)",197,33.0,2.8,3.7,152.0,162.0,4.5,False,True,False
False,True,False,True,16,"University Of Illinois, Chicago (UIC)",197,33.0,2.8,3.46,149.0,165.0,3.5,False,True,False
False,True,False,True,16,"University Of Texas, Dallas (UT Dallas)",260,34.0,2.3,3.46,149.0,165.0,3.5,False,True,False
False,True,False,True,16,University Of Southern California (USC),73,50.0,5.7,3.6,149.0,159.0,3.0,False,True,False
False,True,False,True,16,University Of Southern California (USC),73,50.0,5.7,3.9,156.0,167.0,3.5,False,True,False
False,True,False,True,16,University Of Southern California (USC),73,50.0,5.7,4.0,142.0,158.0,3.0,False,True,False
False,True,False,True,16,"University Of Texas, Dallas (UT Dallas)",260,34.0,2.3,4.0,147.0,163.0,2.5,False,True,False
False,True,True,False,16,"University Of Texas, Arlington",550,15.0,1.8,4.0,157.0,169.0,4.5,False,True,False
False,True,False,True,16,Arizona State University (ASU),161,26.0,2.3,3.5,163.0,150.0,3.5,False,True,False
False,True,False,True,16,"University Of Illinois, Urbana-Champaign (UIUC)",33,83.0,9.9,3.68,165.0,170.0,4.5,False,False,True
False,True,False,True,16,Arizona State University (ASU),161,26.0,2.3,3.2,146.0,161.0,3.0,False,True,False
False,True,True,False,15,"University Of Illinois, Urbana-Champaign (UIUC)",33,83.0,9.9,3.2,152.0,155.0,2.5,False,True,False
True,False,True,False,15,Michigan State University (MSU),122,19.0,1.9,3.71,143.0,160.0,3.5,False,False,True
True,False,True,False,16,Harvard University,2,29.0,4.2,3.6,160.0,170.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.1,153.0,156.0,3.5,False,True,False
False,True,True,False,15,"University Of Illinois, Urbana-Champaign (UIUC)",33,83.0,9.9,3.96,155.0,163.0,5.0,False,True,False
False,True,True,False,16,Yale University,10,26.0,2.5,3.6,155.0,165.0,3.5,False,True,False
True,False,True,False,15,"University Of Texas, San Antonio (UTSA)",276,11.0,1.4,3.58,143.0,164.0,3.0,False,True,False
True,False,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.68,153.0,162.0,4.0,False,True,False
False,True,True,False,15,Georgia Institute Of Technology (GTech),27,73.0,6.7,3.3,160.0,170.0,3.0,False,True,False
False,True,True,False,15,Carnegie Mellon University (CMU),20,152.0,18.1,3.3,152.0,162.0,4.0,False,True,False
True,False,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.85,156.0,168.0,4.0,True,False,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.15,157.0,165.0,4.5,False,True,False
False,True,True,False,15,Georgia Institute Of Technology (GTech),27,73.0,6.7,3.4,157.0,161.0,4.5,True,False,False
False,True,True,False,15,Boston University (BU),59,22.0,2.5,3.3,161.0,166.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Riverside (UCR)",117,36.0,2.8,3.0,140.0,161.0,2.0,False,True,False
True,False,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.44,159.0,156.0,3.0,True,False,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.5,157.0,168.0,4.5,False,True,False
False,True,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.94,144.0,168.0,3.0,False,False,True
True,False,True,False,15,Georgia Institute Of Technology (GTech),27,73.0,6.7,3.97,162.0,165.0,4.0,True,False,False
True,False,True,False,15,New York University (NYU),60,46.0,4.3,3.8,158.0,162.0,3.5,False,True,False
True,False,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.83,165.0,166.0,3.0,False,True,False
