,id,university,major,degree,season,decision,decision_method,decision_date,decision_timestamp,gpa,gre_verbal,gre_quant,gre_writing,new_gre,gre_subject,status,post_data,post_timestamp,comments,uni_faculty,uni_pub
0,0,Tufts University,CS,PhD,S16,Accepted,E-mail,16-11-2015,1447650000,3.6,166,163,4.5,True,,American,16-11-2015,1447650000,"Met with professor beforehand. 1 year academic research experience, 1+ year of defense R&D project management",13,1.6
10,10,Purdue University,CS,MS,S16,Rejected,E-mail,11-Feb-15,1446440400,3.5,156,169,3.5,True,,International,12/11/15,1447304400,Sorry..the purdue admit below is a reject,53,4.8
11,11,Northeastern University,CS,MS,S16,Accepted,E-mail,18-09-2015,1442548800,,158,163,3.5,True,,International,12/11/15,1447304400,"Got early admit, just 2 days post application deadline (15 Sep). Although I have applied June.",55,4.7
12,12,Purdue University,CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,True,,International,12/11/15,1447304400,,53,4.8
13,13,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,True,,International,12/11/15,1447304400,,23,1.9
14,14,Rutgers University,CS,MS,S16,Accepted,E-mail,30-10-2015,1446177600,3.5,156,169,3.5,True,,International,12/11/15,1447304400,,43,3.6
15,15,Northeastern University,CS,MS,S16,Accepted,E-mail,18-07-2015,1437192000,,158,163,3.5,True,,International,12/11/15,1447304400,,55,4.7
16,16,Iowa State University (ISU),CS,MS,S16,Rejected,E-mail,11-Nov-15,1447218000,,,,,,,International,12/11/15,1447304400,,15,1.5
17,17,Iowa State University (ISU),CS,MS,S16,Rejected,E-mail,10-Nov-15,1444536000,3.5,144,167,3,True,,International,11/11/15,1447218000,Non cs background..expected,15,1.5
18,18,Duke University,CS,MS,S16,Accepted,E-mail,11-Apr-15,1446613200,,156,169,,True,,International,11/11/15,1447218000,Any Indians with an admit from Duke for Spring 2016?,22,2.8
19,19,Duke University,ECE,PhD,S16,Rejected,E-mail,11-Sep-15,1447045200,3.2,156,147,3.5,True,,International,9/11/15,1447045200,3 conference papers!,22,2.8
20,20,University Of Southern California (USC),ECE,MS,S16,Accepted,Website,7-Aug-15,1436328000,3.3,147,161,3.5,True,,International,8/11/15,1446958800,I got pretty awesome internships and lor.But i m scared coz the fees are way too high and its spring :) any words??,50,5.7
23,23,"University Of Texas, Dallas (UT Dallas)",CS,MS,F16,Accepted,E-mail,11-Apr-15,1446613200,3.91,157,169,5.5,True,,International with US Degree,6/11/15,1446786000,No news on financial aid,34,2.3
24,24,Purdue University,CS,MS,S16,Rejected,Website,30-10-2015,1446177600,,162,170,3.5,True,,International,5/11/15,1446699600,I have 63% from University of Pune and 3+ years of work experience.,53,4.8
25,25,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Rejected,E-mail,27-10-2015,1445918400,,162,170,3.5,True,,International,5/11/15,1446699600,I have 63% from University of Pune and 3+ Work Exp.,23,1.9
26,26,Rutgers University,CS,MS,S16,Accepted,E-mail,11-May-15,1446699600,,162,170,3.5,True,,International,5/11/15,1446699600,I got 63% from University of Pune.,,
27,27,New York University (NYU),CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,,,,,,,International,5/11/15,1446699600,,46,4.3
28,28,Cornell University,CS,MEng,S16,Rejected,E-mail,11-Apr-15,1446613200,,,,,,,International,4/11/15,1446613200,,68,8.7
