"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"PhD","E-mail",NA,NA,NA,"International",50,4.7,3
"MS","Website",3.8,154,170,"International",50,4.7,4
"PhD","E-mail",3.7,144,166,"International",47,5.8,2
"MS","E-mail",3.82,151,158,"International",32,2.7,2
"MS","E-mail",3.25,146,164,"International",21,2.4,3
"PhD","E-mail",NA,NA,NA,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"American",53,4.8,2
"MS","E-mail",3.5,170,151,"International",68,8.7,2
"MS","E-mail",NA,NA,NA,"International",32,2.7,2
"PhD","E-mail",NA,NA,NA,"International",25,3.5,3
"PhD","Website",NA,NA,NA,"International",50,4.7,3
"PhD","E-mail",NA,161,168,"International",26,3.3,2
"PhD","E-mail",NA,NA,NA,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"American",57,8.4,2
"PhD","E-mail",NA,166,160,"International",21,2.4,2
"PhD","E-mail",NA,NA,NA,"International",26,3.3,2
"MS","E-mail",NA,NA,NA,"International",26,2.3,4
"PhD","E-mail",3,168,166,"International",57,11.5,1
"PhD","E-mail",NA,NA,NA,"American",83,9.9,1
"MS","E-mail",NA,NA,NA,"International",37,3.1,4
"PhD","E-mail",3.7,144,166,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"International",48,5.9,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,3
"MS","E-mail",3.63,170,139,"International",20,1.5,2
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"PhD","E-mail",NA,NA,NA,"International",22,2.4,3
"MS","E-mail",NA,NA,NA,"American",19,2.8,4
"PhD","E-mail",NA,166,166,"International",19,2.8,2
"MS","Website",NA,NA,NA,"American",52,6.4,3
"MS","E-mail",NA,NA,NA,"International",13,1.4,2
"PhD","E-mail",NA,NA,NA,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"International",25,3.5,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,4
"PhD","E-mail",3.47,150,159,"American",85,12.3,2
"MS","E-mail",NA,NA,NA,"Other",152,18.1,2
"MS","E-mail",NA,NA,NA,"American",55,4.3,2
"PhD","E-mail",NA,NA,NA,"American",68,8.7,2
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"American",57,11.5,2
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","Website",NA,NA,NA,"International",42,5.4,3
"MS","E-mail",3.84,166,163,"International with US Degree",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",50,4.7,3
"MS","E-mail",3.79,152,155,"American",33,3.4,4
"PhD","E-mail",NA,NA,NA,"International",22,2.8,3
"MS","E-mail",3.7,161,166,"International",68,8.7,3
"MS","Website",NA,NA,NA,"International",52,6.4,3
"MS","E-mail",3.8,166,164,"International",48,5.9,3
"PhD","E-mail",3.5,159,170,"American",43,3.6,2
"MS","E-mail",NA,NA,NA,"American",47,5.8,4
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",28,2,5
"PhD","E-mail",NA,NA,NA,"International",35,3.4,3
"MS","E-mail",NA,164,166,"International",37,5,3
"PhD","E-mail",NA,NA,NA,"International",53,4.8,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,9.9,3
"MS","E-mail",NA,NA,NA,"International",19,2.8,3
"PhD","E-mail",3.9,160,164,"International",57,8.4,2
"MS","E-mail",NA,NA,NA,"International",32,2.7,2
"MS","E-mail",NA,NA,NA,"American",83,11.1,3
"PhD","E-mail",NA,NA,NA,"American",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",23,1.9,4
"PhD","E-mail",3.9,167,163,"International",152,18.1,2
"PhD","Website",3.33,142,156,"International",35,3.4,3
"MS","E-mail",NA,NA,NA,"International",68,8.7,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",50,4.7,2
"PhD","Phone",4,169,170,"American",85,12.3,2
"PhD","E-mail",3.85,161,166,"International",19,2.8,3
"PhD","E-mail",3.94,161,166,"American",83,9.9,1
"MS","E-mail",NA,NA,NA,"American",73,6.7,4
"MS","Phone",NA,NA,NA,"International",42,2.6,4
"MS","Website",NA,NA,NA,"International",50,5.7,3
"PhD","E-mail",NA,NA,NA,"International",50,4.7,3
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"MS","E-mail",3.34,155,159,"American",50,5.7,5
"PhD","E-mail",NA,NA,NA,"International",25,3.5,2
"MS","Website",3.8,163,161,"International",26,2.5,2
"MS","E-mail",NA,NA,NA,"American",152,18.1,3
"PhD","E-mail",NA,NA,NA,"International",20,1.5,2
"PhD","E-mail",NA,NA,NA,"International",26,3.3,2
"MS","Website",NA,NA,NA,"International",26,3.3,4
"PhD","E-mail",3.9,158,170,"International",83,9.9,1
"PhD","Website",NA,NA,NA,"American",23,2.7,3
"MS","E-mail",3.91,153,166,"International",46,5.6,3
"MS","Website",NA,NA,NA,"International",13,1.8,2
"PhD","E-mail",NA,NA,NA,"International",42,5.4,3
"PhD","E-mail",3.99,166,166,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",19,2.8,4
"PhD","E-mail",NA,NA,NA,"International",NA,NA,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",39,2.4,4
"MS","E-mail",NA,NA,NA,"International with US Degree",15,1.9,4
"MS","E-mail",3.41,167,169,"International",68,8.7,4
"PhD","E-mail",4,157,165,"American",46,5.6,2
"PhD","E-mail",3.86,147,161,"International",40,3.6,3
"PhD","E-mail",3.7,160,166,"American",83,11.1,3
"PhD","Website",NA,NA,NA,"International with US Degree",13,1.6,3
"PhD","E-mail",NA,NA,NA,"American",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International",83,11.1,3
"PhD","E-mail",NA,NA,NA,"International",51,5.3,2
"PhD","E-mail",NA,NA,NA,"American",12,1.8,3
"MS","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","E-mail",NA,NA,NA,"International",83,11.1,3
"PhD","E-mail",3.2,156,166,"American",53,6.9,4
"MS","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",51,5.3,2
"MS","E-mail",3.63,166,168,"American",152,18.1,2
"MS","E-mail",3.4,156,165,"International",50,4.7,3
"MS","Website",NA,164,170,"International",73,6.7,3
"MS","E-mail",3.98,164,161,"International with US Degree",83,9.9,3
"MS","Website",3.5,154,166,"International",30,2.3,3
"PhD","Website",3.91,163,166,"International",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",37,5,4
"PhD","E-mail",NA,NA,NA,"International",50,4.7,2
"PhD","Phone",3.95,159,168,"International with US Degree",63,8.6,1
"PhD","E-mail",3.92,165,170,"Other",152,18.1,1
"MS","E-mail",NA,NA,NA,"International",55,4.3,4
"PhD","E-mail",3.6,154,167,"International",53,6.9,1
"PhD","E-mail",3.82,170,150,"International with US Degree",68,8.7,1
"PhD","E-mail",3.99,161,166,"International",52,6.4,3
"PhD","E-mail",4,154,166,"International",29,4.2,2
"PhD","E-mail",3.9,159,164,"American",37,3.1,4
"MS","Website",NA,154,161,"International",35,3.4,3
"PhD","E-mail",NA,NA,NA,"International",37,5,4
"MS","E-mail",3.44,154,158,"International",42,2.6,3
"MS","Website",NA,NA,NA,"International",13,1.8,3
"PhD","E-mail",NA,NA,NA,"International",46,4.3,3
"PhD","E-mail",NA,NA,NA,"International",9,1.5,5
"PhD","E-mail",NA,162,158,"International",30,2.3,2
"PhD","E-mail",3.84,166,168,"International",13,1.8,2
"PhD","E-mail",NA,163,170,"International",55,4.3,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,1
"PhD","E-mail",NA,NA,NA,"International",30,2.8,3
"MS","E-mail",NA,NA,NA,"International",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",19,2.8,3
"PhD","E-mail",3.99,155,164,"International",53,6.9,4
